College Code,College Name,Seat Category,AD - Artificial Intelligence & Data Science,AE - Aeronautical Engineering,AG - Agricultural Engineering,AI - Artificial Intelligence & Machine Learning,AL - Agriculture Engineering Course,AR - Automation & Robotics Engineering,AS - Aerospace Engineering,AU - Automobile Engineering,AVE - Automotive Engineering,BD - Bachelor of Design,BDC - Bachelor of Design (Communi- cation & Design),BFD - Bachelor of Design (Fashion Design),BID - Bachelor of Design (Industrial Design),BLD - Bachelor of Design (Lifestyle & Accessory Design),BM - Bio- Medical Engineering,BP - Bachelor of Urban & Regional Planning,BT - Bio- technology,CA - Computer Science & Engineering (Artificial Intelligence),CAD - Computer Science & Engineering (Artificial Intelligence & Data Science),CB - Computer Science & Business Systems,CBD - Computer Science & Technology (Big Data),CC - Ceramic And Cement Technology,CCA - Civil Engineering with Computer Application,CCS - Civil Construction & Sustainability Engineering,CD - Computer Science & Engineering (Data Science),CE - Computer Engineering,CG - Computer Science & Design,CH - Chemical Engineering,CI - Computer Science & Engineering (Artificial Intelligence & Machine Learning),CIT - Computer Science & Information Technology,CK - Civil Engineering (Kannada),CM - Computer & Communica- tion Engineering,CN - Computer Science & Technology,CO - Computer Science & Engineering (IOT),CR - Computer Science,CS - Computer Science & Engineering,CSB - Computer Science & Engineering (Block Chain),CSD - Computer Science & Technology (Devops),CV - Civil Engineering,CX - Cyber Security,CY - Computer Science & Engineering (Cyber Security),DS - Data Science,EC - Electronics & Communica- tion Engineering,ECE - Electrical & Computer Engineering,ECV - Electronics and Communica- tion Engineering (V LSI Design & Technology),EE - Electrical & Electronics Engineering,EI - Electronics & Instrument- ation Engineering,ES - Electronics & Computer Science,ET - Electronics & Telecommu- nication Engineering,IAR - Information Technology (Augmented Reality and Virtual Reality (AR / VR),IC - Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),IDA - Information Technology (Data Analytics),IM - Industrial Engineering & Management,INT - Information Technology,IP - Industrial & Production Engineering,IS - Information Science & Engineering,IST - Information Science & Technology,MAE - Mechanical & Aerospace Engineering,MD - Medical Electronics Engineering,ME - Mechanical Engineering,MR - Marine Engineering,MT - Mechatronics Engineering,RA - Robotics & Automation,RI - Robotics & Artificial Intelligence,ROB - Robotics,TX - Textile Technology,UE - Electronics & Computer Engineering,VL - Electronics Engineering (VLSI Design & Technology),VLS - VLSI
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,56571,,99107,,,,,,,,,,,,,82087,,,,,,,,103486,,,,,,,,,,,109781,,,,,,,87540,,,,,,,,,,,,,106733,,,,,,,,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,,,74861,,,90119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,,,,62788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,84613,,,,,,,,,,,,,,,,,,,,,,,,,,,,84459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,,,,103040,,,,,,,,,,,,,,,,,,,,,,,,,110976,,,,,,,102932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,,,,85194,,,,,,,,,,,,,,,,,,,,,105457,,,,,,,,,,,99556,,,,,,,110946,,,,,,,,,,,,,53093,,,,,,,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
